COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL]
81,4082.051282,4352.307692,3837.948718,4198.461538,4182.051282,4062.051282,4487.692308,4038.974359,4337.948718,4233.333333,4356.923077,4153.333333,4235.897436,4165.128205,1680,1745,22.215,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
82,4081.538462,4362.051282,3836.410256,4201.538462,4185.128205,3988.205128,4501.025641,4040,4341.538462,4231.794872,4355.384615,4149.230769,4234.358974,4168.717949,1680,1744,22.223,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
83,4103.076923,4357.435897,3838.461538,4199.487179,4178.974359,4006.666667,4467.692308,4036.923077,4345.128205,4232.307692,4351.794872,4149.230769,4228.205128,4156.410256,1680,1745,22.231,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
84,4106.153846,4349.230769,3835.897436,4195.384615,4182.051282,4105.128205,4498.974359,4038.461538,4349.230769,4231.282051,4361.025641,4153.846154,4237.435897,4150.769231,1680,1744,22.238,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
85,4113.333333,4360,3849.230769,4201.538462,4186.666667,4146.666667,4475.897436,4038.974359,4348.205128,4231.282051,4366.666667,4150.769231,4244.102564,4155.384615,1680,1745,22.245,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
86,4097.948718,4357.948718,3840.512821,4197.435897,4178.974359,4053.333333,4482.051282,4050.25641,4366.153846,4236.410256,4365.128205,4157.948718,4249.230769,4166.153846,1681,1744,22.254,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
87,4062.564103,4355.897436,3837.948718,4202.564103,4183.076923,3966.666667,4508.205128,4041.025641,4371.794872,4232.307692,4355.897436,4154.358974,4243.589744,4160,1679,1745,22.262,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
88,4089.230769,4359.487179,3852.820513,4205.641026,4184.102564,4003.589744,4462.051282,4029.230769,4343.076923,4227.179487,4355.384615,4149.74359,4224.102564,4148.205128,1681,1744,22.27,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
89,4118.461538,4355.897436,3855.384615,4196.923077,4181.025641,4098.974359,4492.820513,4044.615385,4345.641026,4231.282051,4352.820513,4157.948718,4231.282051,4153.333333,1680,1744,22.277,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
90,4101.538462,4357.435897,3849.74359,4198.974359,4177.948718,4132.307692,4483.589744,4044.615385,4365.641026,4234.871795,4340,4157.435897,4248.717949,4158.461538,1680,1745,22.284,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
91,4089.74359,4357.435897,3838.461538,4198.461538,4180,4065.128205,4470.769231,4044.615385,4364.102564,4235.384615,4353.333333,4162.051282,4247.179487,4160.512821,1680,1744,22.293,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
92,4103.076923,4358.974359,3846.666667,4198.974359,4186.666667,3999.487179,4509.230769,4042.564103,4352.820513,4232.307692,4367.179487,4164.615385,4238.974359,4155.897436,1681,1745,22.301,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
93,4108.205128,4358.974359,3847.179487,4198.974359,4177.435897,3998.461538,4471.282051,4036.923077,4356.923077,4234.871795,4385.641026,4162.564103,4234.871795,4146.153846,1680,1744,22.309,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
94,4092.820513,4352.307692,3838.974359,4198.461538,4185.641026,4068.205128,4486.153846,4046.666667,4355.897436,4235.897436,4356.923077,4171.794872,4244.102564,4150.769231,1680,1745,22.317,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
95,4097.435897,4357.435897,3849.74359,4203.589744,4187.179487,4126.666667,4500.512821,4040.512821,4345.128205,4230.25641,4297.948718,4169.230769,4242.051282,4155.897436,1680,1744,22.324,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
96,4101.538462,4360,3839.487179,4200,4177.435897,4074.358974,4475.384615,4035.897436,4364.615385,4234.871795,4330.769231,4164.102564,4232.307692,4148.205128,1680,1745,22.332,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
97,4090.769231,4355.897436,3835.384615,4196.923077,4187.692308,4024.615385,4498.461538,4042.051282,4347.692308,4235.384615,4382.051282,4171.282051,4244.102564,4146.153846,1680,1744,22.34,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
98,4093.846154,4354.871795,3841.538462,4197.435897,4181.025641,4039.487179,4484.615385,4031.282051,4317.435897,4228.205128,4381.025641,4173.846154,4247.692308,4164.102564,1680,1745,22.348,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
99,4101.538462,4358.461538,3838.461538,4200,4186.153846,4065.641026,4484.615385,4035.897436,4353.846154,4232.820513,4353.333333,4172.307692,4245.128205,4156.923077,1681,1744,22.356,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
100,4102.051282,4363.589744,3842.051282,4201.025641,4189.74359,4096.923077,4511.282051,4040.512821,4375.897436,4237.435897,4322.051282,4176.410256,4248.717949,4147.179487,1680,1745,22.362,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
101,4082.051282,4357.948718,3838.461538,4201.025641,4181.538462,4088.717949,4482.051282,4028.717949,4351.794872,4233.846154,4335.897436,4176.923077,4237.435897,4159.487179,1680,1745,22.371,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
102,4070.769231,4354.871795,3838.974359,4203.076923,4189.74359,4045.128205,4480.512821,4034.358974,4331.794872,4229.74359,4360.512821,4160.512821,4235.384615,4143.589744,1681,1744,22.379,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
103,4112.307692,4367.692308,3826.153846,4190.769231,4174.871795,4045.128205,4538.974359,4048.205128,4353.333333,4232.820513,4366.666667,4161.538462,4240,4139.487179,1680,1745,22.387,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
104,4103.589744,4365.641026,3840.512821,4207.179487,4184.102564,4082.564103,4490.769231,4032.307692,4360,4235.384615,4349.230769,4170.25641,4236.410256,4148.717949,1680,1745,22.394,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
105,4086.666667,4354.358974,3854.358974,4209.74359,4189.230769,4085.641026,4465.128205,4028.205128,4344.615385,4231.794872,4327.692308,4165.128205,4241.538462,4153.846154,1680,1745,22.403,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
106,4133.333333,4363.589744,3818.461538,4183.076923,4170.25641,4078.974359,4543.589744,4044.102564,4352.307692,4232.307692,4337.948718,4167.692308,4244.102564,4169.74359,1664,1683,22.41,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
107,4105.641026,4360.512821,3846.153846,4207.692308,4190.25641,4056.923077,4485.641026,4029.74359,4375.384615,4232.307692,4357.948718,4160.512821,4248.205128,4160,1632,1708,22.417,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
108,4076.923077,4352.820513,3852.820513,4207.692308,4184.615385,4038.974359,4481.538462,4029.230769,4393.846154,4231.282051,4364.615385,4154.871795,4251.282051,4149.74359,1703,1829,22.426,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
109,4101.538462,4361.025641,3825.641026,4192.820513,4180,4082.051282,4528.717949,4038.461538,4385.128205,4231.282051,4351.794872,4162.564103,4241.538462,4142.564103,1730,1725,22.433,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
