COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL,USER,CLASS
34.0,4721.02564103,4570.25641026,4621.53846154,4354.35897436,4583.07692308,4039.48717949,4563.07692308,4705.12820513,4595.8974359,4788.20512821,4590.25641026,4538.46153846,4379.48717949,4344.1025641,1694.0,1661.0,217.237,0.0,0.0,0.0,0.0,mike,0
35.0,4717.43589744,4570.25641026,4617.43589744,4352.30769231,4589.23076923,4035.38461538,4559.48717949,4705.12820513,4591.79487179,4780.0,4586.66666667,4533.84615385,4376.92307692,4343.58974359,1694.0,1661.0,217.245,0.0,0.0,0.0,0.0,mike,0
36.0,4717.94871795,4567.17948718,4615.38461538,4349.23076923,4581.02564103,4029.23076923,4551.28205128,4701.53846154,4585.64102564,4777.43589744,4584.1025641,4523.58974359,4368.20512821,4336.41025641,1694.0,1662.0,217.253,0.0,0.0,0.0,0.0,mike,0
37.0,4720.0,4567.69230769,4617.94871795,4348.71794872,4570.76923077,4027.69230769,4550.76923077,4695.38461538,4586.66666667,4781.02564103,4585.12820513,4523.07692308,4367.17948718,4334.35897436,1695.0,1661.0,217.261,0.0,0.0,0.0,0.0,mike,0
38.0,4717.43589744,4568.71794872,4615.8974359,4347.17948718,4567.17948718,4031.79487179,4552.82051282,4691.28205128,4585.64102564,4776.92307692,4584.61538462,4521.53846154,4365.12820513,4328.71794872,1693.0,1661.0,217.269,0.0,0.0,0.0,0.0,mike,0
39.0,4716.41025641,4567.69230769,4614.35897436,4348.20512821,4571.28205128,4035.38461538,4555.8974359,4696.92307692,4586.66666667,4776.92307692,4584.1025641,4520.0,4362.05128205,4325.12820513,1695.0,1662.0,217.277,0.0,0.0,0.0,0.0,mike,0
40.0,4717.43589744,4568.20512821,4617.43589744,4349.23076923,4581.53846154,4035.38461538,4557.43589744,4703.58974359,4597.43589744,4782.05128205,4584.61538462,4524.1025641,4367.69230769,4332.30769231,1694.0,1661.0,217.284,0.0,0.0,0.0,0.0,mike,0
41.0,4719.48717949,4569.74358974,4618.46153846,4348.71794872,4589.74358974,4035.8974359,4556.41025641,4706.66666667,4598.97435897,4783.58974359,4585.64102564,4526.66666667,4373.84615385,4337.94871795,1694.0,1662.0,217.292,0.0,0.0,0.0,0.0,mike,0
42.0,4720.51282051,4570.25641026,4618.46153846,4350.76923077,4581.53846154,4038.46153846,4564.1025641,4712.82051282,4592.82051282,4780.0,4586.15384615,4530.25641026,4373.33333333,4338.46153846,1694.0,1661.0,217.3,0.0,0.0,0.0,0.0,mike,0
43.0,4721.02564103,4569.74358974,4624.1025641,4351.79487179,4568.20512821,4036.92307692,4569.23076923,4718.97435897,4596.92307692,4778.97435897,4587.17948718,4536.92307692,4374.87179487,4341.53846154,1694.0,1662.0,217.308,0.0,0.0,0.0,0.0,mike,0
